km,reward
466.0,-2330
1128.0,59309
1915.0,111783
3090.0,135808
4161.0,167458
4550.0,165513
5361.0,216227
6564.0,238199
6789.0,237074
7105.0,324083
7421.0,411092
7737.0,409512
8053.0,496521
8835.0,549361
9301.0,547031
9617.0,545451
10471.0,593012
10958.0,667483
11965.0,703826
12190.0,702701
13044.0,750262
13433.0,748317
13898.0,824401
14214.0,911410
14530.0,998419
15176.0,1061231
16047.0,1107546
16918.0,1153861
17698.0,1206848
18509.0,1257562
18658.0,1256817
19196.0,1327548
19683.0,1402019
20149.0,1399689
21206.0,1432366
21993.0,1484840
22780.0,1537314
23858.0,1568451
24247.0,1566506
24396.0,1565761
24934.0,1636492
26005.0,1668142
26651.0,1664912
26967.0,1663332
27555.0,1730397
28426.0,1776712
29297.0,1823027
29943.0,1819797
30259.0,1818217
30847.0,1885282
31431.0,1952640
32438.0,1988983
33445.0,2025326
33911.0,2022996
34227.0,2110005
34543.0,2108425
34692.0,2207679
35503.0,2258393
36290.0,2310867
36881.0,2307912
37347.0,2305582
37663.0,2304002
38641.0,2342471
39428.0,2394945
40603.0,2418970
41249.0,2415740
41895.0,2478552
42479.0,2545910
43261.0,2598750
43907.0,2661562
44644.0,2717702
45033.0,2799358
46111.0,2830495
47189.0,2861632
47578.0,2859687
48784.0,2881439
49990.0,2903191
50801.0,2953905
52004.0,2975877
52229.0,2974752
52545.0,2973172
53602.0,3005849
54193.0,3002894
54659.0,3000564
54975.0,2998984
55621.0,3061796
56358.0,3117936
56507.0,3117191
57045.0,3187922
57955.0,3231377
58826.0,3277692
59472.0,3340504
59788.0,3338924
60104.0,3425933
60958.0,3473494
61347.0,3471549
62553.0,3493301
63340.0,3545775
64127.0,3598249
64718.0,3595294
65205.0,3669765
65692.0,3744236
66158.0,3741906
67215.0,3774583
67806.0,3841428
68293.0,3915899
68682.0,3913954
68831.0,3913209
69369.0,3983940
69758.0,3981995
70373.0,4047080
70957.0,4114438
71541.0,4181796
71737.0,4277603
72548.0,4328317
72697.0,4327572
73235.0,4398303
74145.0,4441758
74370.0,4440633
74835.0,4516717
75224.0,4598373
76134.0,4641828
76675.0,4712339
76991.0,4799348
77307.0,4886357
77623.0,4884777
77848.0,4978458
78073.0,4977333
78298.0,5071014
78523.0,5069889
79305.0,5122729
79792.0,5197200
80181.0,5195255
80992.0,5245969
81779.0,5298443
82836.0,5331120
83152.0,5329540
84006.0,5377101
84689.0,5437200
84885.0,5436220
85892.0,5472563
86763.0,5518878
87938.0,5542903
89144.0,5564655
89955.0,5615369
90617.0,5677008
90766.0,5776262
90915.0,5775517
91231.0,5773937
92013.0,5826777
92479.0,5824447
92795.0,5822867
93441.0,5885679
94616.0,5909704
95694.0,5940841
96083.0,5938896
96894.0,5989610
97090.0,6085417
97556.0,6083087
97872.0,6081507
98850.0,6119976
99046.0,6215783
99637.0,6282628
100843.0,6304380
102049.0,6326132
102640.0,6392977
103106.0,6390647
103422.0,6477656
104068.0,6540468
104714.0,6537238
105030.0,6535658
105346.0,6622667
106200.0,6670228
106589.0,6751884
106738.0,6751139
107054.0,6838148
107370.0,6836568
107519.0,6935822
107908.0,7017478
108297.0,7015533
109503.0,7037285
110094.0,7034330
110560.0,7032000
111617.0,7064677
112208.0,7061722
112404.0,7157529
113066.0,7219168
114123.0,7251845
114714.0,7248890
115305.0,7315735
116383.0,7346872
116921.0,7417603
117583.0,7479242
118786.0,7501214
119657.0,7547529
120303.0,7544299
121281.0,7582768
122061.0,7635755
122932.0,7682070
123473.0,7752581
124014.0,7823092
124555.0,7893603
125612.0,7926280
126203.0,7923325
126787.0,7990683
127433.0,7987453
128411.0,8025922
129614.0,8047894
130155.0,8118405
130621.0,8194415
131628.0,8230758
131853.0,8229633
132169.0,8316642
132318.0,8415896
132467.0,8415151
133005.0,8485882
133394.0,8483937
133543.0,8483192
133859.0,8570201
134084.0,8663882
134309.0,8662757
134955.0,8725569
135601.0,8722339
135917.0,8720759
136233.0,8807768
136549.0,8806188
136865.0,8804608
137647.0,8857448
138238.0,8924293
139316.0,8955430
139999.0,9015529
141202.0,9037501
142209.0,9073844
142793.0,9141202
143968.0,9165227
144559.0,9162272
145143.0,9229630
145789.0,9226400
146105.0,9224820
147162.0,9257497
147753.0,9254542
148219.0,9252212
148535.0,9250632
148851.0,9249052
149167.0,9247472
150021.0,9295033
151092.0,9326683
151738.0,9389495
151963.0,9483176
152188.0,9482051
153166.0,9520520
154369.0,9542492
154910.0,9613003
155967.0,9645680
156558.0,9642725
157024.0,9640395
157340.0,9727404
157656.0,9725824
158713.0,9758501
159770.0,9791178
160086.0,9789598
160402.0,9788018
160940.0,9858749
161329.0,9856804
162535.0,9878556
163710.0,9902581
164294.0,9969939
164909.0,10035024
165058.0,10034279
165720.0,10095918
166382.0,10157557
166698.0,10155977
167163.0,10232061
167684.0,10304039
167909.0,10302914
168225.0,10301334
168541.0,10388343
169395.0,10435904
169784.0,10517560
170990.0,10539312
171581.0,10606157
171777.0,10701964
172439.0,10763603
172755.0,10762023
173733.0,10800492
174520.0,10852966
175598.0,10884103
175987.0,10965759
176136.0,10965014
176285.0,11064268
176750.0,11140352
177728.0,11178821
178515.0,11231295
179106.0,11228340
179690.0,11295698
180274.0,11363056
180740.0,11360726
181281.0,11431237
182152.0,11477552
182798.0,11474322
183263.0,11550406
184074.0,11601120
184736.0,11662759
185052.0,11661179
185277.0,11754860
186148.0,11801175
187323.0,11825200
187914.0,11822245
188110.0,11918052
188890.0,11971039
189536.0,11967809
189852.0,11966229
190909.0,11998906
