km,reward
466.0,-2330
1007.0,68181
2014.0,104524
2598.0,171882
3244.0,168652
3709.0,244736
4324.0,309821
4790.0,307491
5106.0,305911
5571.0,381995
5960.0,463651
6349.0,461706
7086.0,517846
7732.0,514616
7957.0,608297
8182.0,607172
9160.0,645641
9356.0,741448
9947.0,808293
10538.0,875138
11153.0,940223
11302.0,939478
12359.0,972155
12950.0,969200
13437.0,1043671
14515.0,1074808
15721.0,1096560
16927.0,1118312
17714.0,1170786
18525.0,1221500
19731.0,1243252
20322.0,1240297
21329.0,1276640
22532.0,1298612
22728.0,1297632
23215.0,1372103
24069.0,1419664
24923.0,1467225
26001.0,1498362
27176.0,1522387
28351.0,1546412
28942.0,1543457
29408.0,1541127
30465.0,1573804
31543.0,1604941
31932.0,1602996
32081.0,1602251
32397.0,1600671
32713.0,1599091
33251.0,1669822
33934.0,1729921
34714.0,1782908
35302.0,1849973
36359.0,1882650
37437.0,1913787
38515.0,1944924
39106.0,1941969
39572.0,1939639
39888.0,1938059
40204.0,1936479
40745.0,2006990
41616.0,2053305
42687.0,2084955
43765.0,2116092
44971.0,2137844
45120.0,2137099
45436.0,2135519
45661.0,2229200
46864.0,2251172
47675.0,2301886
48486.0,2352600
49273.0,2405074
49864.0,2402119
50060.0,2497926
50847.0,2550400
51438.0,2617245
52220.0,2670085
53074.0,2717646
54152.0,2748783
54743.0,2745828
55334.0,2812673
55925.0,2809718
56516.0,2876563
57594.0,2907700
57983.0,2905755
58132.0,2905010
58448.0,2903430
59230.0,2956270
59696.0,2953940
60012.0,3040949
60328.0,3039369
60644.0,3037789
60869.0,3131470
61876.0,3167813
62342.0,3165483
62658.0,3163903
63304.0,3226715
64479.0,3250740
65070.0,3317585
65536.0,3315255
65852.0,3402264
66634.0,3455104
67100.0,3531114
67416.0,3529534
67732.0,3527954
68048.0,3614963
69026.0,3653432
69688.0,3715071
70350.0,3776710
71161.0,3827424
71972.0,3878138
72759.0,3930612
73816.0,3963289
74357.0,4033800
74898.0,4104311
75214.0,4102731
76068.0,4150292
76457.0,4231948
77268.0,4282662
78079.0,4333376
78816.0,4389516
79687.0,4435831
80558.0,4482146
81146.0,4549211
81612.0,4625221
82078.0,4701231
82227.0,4800485
82616.0,4882141
83005.0,4880196
83742.0,4936336
84388.0,4933106
84613.0,5026787
84838.0,5025662
85620.0,5078502
86627.0,5114845
86852.0,5113720
87498.0,5176532
88569.0,5208182
89647.0,5239319
90704.0,5271996
91020.0,5270416
91336.0,5268836
91652.0,5267256
91968.0,5265676
92117.0,5364930
93323.0,5386682
93914.0,5383727
94380.0,5381397
94921.0,5451908
95146.0,5450783
96124.0,5489252
97327.0,5511224
98198.0,5557539
98844.0,5554309
99160.0,5641318
99476.0,5639738
100454.0,5678207
101241.0,5730681
102416.0,5754706
103487.0,5786356
104341.0,5833917
105123.0,5886757
105589.0,5884427
105905.0,5971436
106370.0,6047520
107576.0,6069272
108782.0,6091024
108931.0,6090279
109247.0,6088699
109472.0,6182380
109697.0,6181255
110551.0,6228816
110940.0,6226871
111089.0,6226126
111630.0,6296637
112637.0,6332980
113124.0,6407451
113513.0,6489107
113978.0,6565191
114203.0,6658872
114428.0,6657747
114744.0,6656167
115060.0,6654587
115376.0,6653007
115914.0,6723738
116303.0,6721793
116692.0,6803449
117081.0,6801504
117696.0,6866589
118162.0,6864259
118628.0,6940269
119094.0,7016279
119410.0,7014699
119726.0,7013119
120264.0,7083850
120653.0,7081905
121390.0,7138045
121974.0,7205403
122756.0,7258243
123734.0,7296712
124545.0,7347426
124934.0,7429082
125421.0,7503553
125908.0,7578024
126446.0,7648755
126762.0,7735764
127616.0,7783325
128005.0,7781380
128526.0,7853358
129729.0,7875330
130516.0,7927804
131573.0,7960481
132630.0,7993158
133221.0,7990203
133687.0,7987873
134003.0,7986293
134857.0,8033854
135344.0,8108325
135810.0,8105995
136351.0,8176506
136576.0,8175381
137554.0,8213850
138341.0,8266324
139516.0,8290349
140587.0,8321999
141665.0,8353136
142722.0,8385813
143260.0,8456544
143649.0,8454599
144855.0,8476351
145446.0,8473396
145933.0,8547867
146322.0,8545922
146711.0,8627578
147100.0,8625633
148306.0,8647385
148897.0,8644430
149363.0,8720440
149679.0,8718860
150533.0,8766421
151604.0,8798071
152192.0,8865136
152780.0,8932201
153851.0,8963851
154338.0,9038322
155345.0,9074665
156352.0,9111008
156818.0,9108678
157134.0,9195687
157450.0,9194107
157766.0,9192527
158412.0,9255339
159587.0,9279364
160665.0,9310501
161519.0,9358062
162301.0,9410902
163308.0,9447245
163849.0,9517756
164165.0,9604765
164481.0,9603185
164797.0,9601605
165579.0,9654445
166066.0,9728916
166455.0,9726971
167192.0,9783111
167838.0,9779881
168154.0,9778301
168692.0,9849032
169230.0,9919763
169771.0,9990274
170312.0,10060785
170850.0,10131516
171239.0,10129571
171388.0,10128826
171537.0,10228080
171926.0,10309736
172315.0,10391392
