km,reward
196.0,-980
392.0,94827
588.0,93847
784.0,189654
980.0,188674
2183.0,210646
2408.0,209521
3386.0,247990
4364.0,286459
4680.0,284879
5737.0,317556
7335.0,310566
7560.0,309441
8933.0,318948
10139.0,340700
10950.0,391414
11730.0,444401
12318.0,441461
12634.0,528470
12859.0,622151
13730.0,668466
14318.0,665526
14856.0,736257
15394.0,806988
15932.0,877719
16419.0,952190
17010.0,1019035
18608.0,1012045
19479.0,1058360
20550.0,1090010
20939.0,1088065
21750.0,1138779
22537.0,1191253
23128.0,1188298
23324.0,1187318
23520.0,1186338
23716.0,1185358
24527.0,1236072
24916.0,1317728
25994.0,1348865
27072.0,1380002
27610.0,1450733
27926.0,1449153
28904.0,1487622
29566.0,1549261
30107.0,1619772
30332.0,1713453
31114.0,1766293
31601.0,1840764
31990.0,1838819
32801.0,1889533
33463.0,1951172
33612.0,2050426
33761.0,2149680
34077.0,2148100
35055.0,2186569
35866.0,2237283
36387.0,2309261
36612.0,2308136
37258.0,2370948
37995.0,2427088
38516.0,2499066
38741.0,2497941
38966.0,2591622
39487.0,2663600
40693.0,2685352
42291.0,2678362
42516.0,2677237
42741.0,2770918
43612.0,2817233
44349.0,2873373
44870.0,2945351
45877.0,2981694
46364.0,3056165
47435.0,3087815
48215.0,3140802
49193.0,3179271
50171.0,3217740
50367.0,3313547
50854.0,3388018
51341.0,3462489
51537.0,3461509
52515.0,3499978
52831.0,3498398
53147.0,3496818
53463.0,3495238
53779.0,3493658
54757.0,3532127
54953.0,3531147
55149.0,3530167
55929.0,3583154
56575.0,3645966
56800.0,3739647
57025.0,3738522
57490.0,3814606
57639.0,3813861
57955.0,3812281
58271.0,3810701
58587.0,3809121
59441.0,3856682
60124.0,3916781
60320.0,3915801
61327.0,3952144
62334.0,3988487
62949.0,4053572
63098.0,4052827
63414.0,4139836
64196.0,4192676
64787.0,4259521
65378.0,4326366
65574.0,4325386
66354.0,4378373
67000.0,4441185
67316.0,4528194
68373.0,4560871
68964.0,4627716
69971.0,4664059
71174.0,4686031
71985.0,4736745
72506.0,4808723
73709.0,4830695
74496.0,4883169
75702.0,4904921
76513.0,4955635
77293.0,5008622
77877.0,5075980
78073.0,5075000
78860.0,5127474
80066.0,5149226
80877.0,5199940
81539.0,5261579
81855.0,5259999
82501.0,5322811
83238.0,5378951
83975.0,5435091
84563.0,5432151
85620.0,5464828
87218.0,5457838
87443.0,5456713
88297.0,5504274
88686.0,5502329
88835.0,5501584
89151.0,5500004
89467.0,5498424
90005.0,5569155
90859.0,5616716
91641.0,5669556
92648.0,5705899
92873.0,5704774
93519.0,5767586
94590.0,5799236
95444.0,5846797
95760.0,5933806
96301.0,6004317
96526.0,6003192
96751.0,6096873
97292.0,6167384
97880.0,6234449
98751.0,6280764
98976.0,6279639
99201.0,6373320
99742.0,6443831
100058.0,6530840
101036.0,6569309
101232.0,6665116
101719.0,6739587
102206.0,6814058
102402.0,6813078
103085.0,6873177
104156.0,6904827
105027.0,6951142
106230.0,6973114
107010.0,7026101
107598.0,7023161
108139.0,7093672
109146.0,7130015
109633.0,7204486
110022.0,7202541
110171.0,7201796
111228.0,7234473
111819.0,7231518
112410.0,7298363
113585.0,7322388
114173.0,7319448
114714.0,7389959
114939.0,7388834
115917.0,7427303
116113.0,7523110
116579.0,7599120
116895.0,7597540
117873.0,7636009
118069.0,7731816
118535.0,7807826
119073.0,7878557
119927.0,7926118
120243.0,7924538
120709.0,8000548
120905.0,7999568
121588.0,8059667
122271.0,8119766
122933.0,8181405
123521.0,8248470
124258.0,8304610
124407.0,8303865
124948.0,8374376
125955.0,8410719
126546.0,8477564
127137.0,8544409
127333.0,8543429
127529.0,8639236
128016.0,8713707
128699.0,8773806
128895.0,8772826
129091.0,8771846
129902.0,8822560
130423.0,8894538
130648.0,8988219
130873.0,9081900
132076.0,9103872
132863.0,9156346
133920.0,9189023
134236.0,9276032
134552.0,9274452
134701.0,9373706
134850.0,9372961
135391.0,9443472
135616.0,9442347
136081.0,9518431
137287.0,9540183
138493.0,9561935
138642.0,9561190
139183.0,9631701
140190.0,9668044
140386.0,9667064
