km,reward
782.0,52840
1007.0,146521
1232.0,145396
2086.0,192957
2475.0,191012
3681.0,212764
4272.0,209809
4856.0,277167
5444.0,344232
5985.0,414743
6992.0,451086
7999.0,487429
9006.0,523772
9472.0,521442
9788.0,519862
10642.0,567423
11031.0,565478
11768.0,621618
12414.0,618388
13060.0,681200
14235.0,705225
15313.0,736362
15702.0,734417
16439.0,790557
17085.0,787327
17867.0,840167
18649.0,893007
18874.0,986688
19415.0,1057199
19731.0,1055619
20709.0,1094088
20905.0,1093108
21520.0,1158193
21669.0,1157448
22726.0,1190125
23317.0,1187170
23804.0,1261641
24193.0,1259696
24658.0,1335780
24974.0,1334200
26031.0,1366877
26622.0,1363922
27088.0,1361592
27629.0,1432103
27854.0,1430978
28319.0,1507062
29130.0,1557776
29326.0,1556796
29792.0,1554466
30333.0,1624977
30558.0,1623852
31536.0,1662321
31732.0,1758128
32739.0,1794471
32964.0,1793346
33818.0,1840907
34672.0,1888468
34897.0,1982149
35768.0,2028464
36414.0,2025234
36730.0,2023654
37271.0,2094165
37496.0,2093040
37721.0,2186721
38592.0,2233036
39767.0,2257061
40824.0,2289738
41140.0,2376747
41365.0,2470428
41590.0,2469303
42444.0,2516864
42833.0,2514919
43222.0,2596575
44132.0,2640030
45139.0,2676373
45605.0,2674043
45921.0,2672463
46237.0,2670883
47294.0,2703560
48351.0,2736237
48667.0,2823246
48983.0,2821666
49299.0,2820086
49615.0,2818506
49931.0,2905515
50785.0,2953076
51174.0,2951131
51563.0,3032787
51952.0,3030842
53158.0,3052594
54333.0,3076619
55508.0,3100644
56565.0,3133321
57103.0,3204052
58181.0,3235189
58772.0,3302034
59387.0,3367119
59536.0,3366374
60593.0,3399051
61184.0,3396096
61650.0,3393766
62707.0,3426443
63298.0,3423488
63764.0,3421158
64080.0,3419578
65058.0,3458047
65838.0,3511034
66575.0,3567174
67386.0,3617888
68048.0,3679527
68364.0,3766536
69342.0,3805005
70545.0,3826977
70770.0,3825852
71235.0,3901936
72441.0,3923688
73616.0,3947713
74262.0,3944483
74487.0,4038164
75690.0,4060136
76352.0,4121775
76668.0,4120195
77646.0,4158664
78426.0,4211651
79497.0,4243301
79984.0,4317772
80471.0,4392243
80860.0,4390298
81381.0,4462276
82584.0,4484248
83395.0,4534962
83544.0,4534217
84132.0,4601282
85307.0,4625307
85898.0,4622352
86482.0,4689710
87128.0,4686480
87982.0,4734041
88836.0,4781602
89152.0,4780022
89690.0,4850753
90544.0,4898314
91326.0,4951154
91792.0,4948824
92108.0,5035833
92333.0,5129514
93204.0,5175829
93850.0,5172599
94828.0,5211068
95608.0,5264055
96679.0,5295705
97068.0,5293760
97533.0,5369844
97758.0,5463525
98299.0,5534036
98840.0,5604547
99381.0,5675058
99847.0,5751068
100334.0,5825539
100821.0,5900010
101828.0,5936353
102053.0,5935228
102278.0,6028909
103285.0,6065252
103751.0,6062922
104067.0,6061342
104292.0,6155023
105299.0,6191366
105765.0,6189036
106081.0,6187456
106306.0,6281137
107313.0,6317480
107779.0,6315150
108095.0,6313570
108877.0,6366410
109461.0,6433768
110107.0,6430538
110423.0,6428958
110961.0,6499689
111499.0,6570420
112161.0,6632059
112972.0,6682773
113121.0,6682028
113659.0,6752759
114048.0,6750814
114785.0,6806954
115856.0,6838604
116927.0,6870254
117573.0,6867024
117889.0,6865444
118205.0,6952453
119059.0,7000014
119546.0,7074485
120033.0,7148956
120422.0,7230612
120571.0,7329866
121109.0,7400597
121498.0,7398652
122704.0,7420404
123295.0,7417449
123761.0,7415119
124818.0,7447796
125409.0,7444841
125605.0,7540648
125801.0,7636455
126808.0,7672798
127349.0,7743309
127887.0,7814040
128741.0,7861601
128966.0,7955282
129507.0,8025793
129823.0,8024213
130139.0,8022633
131196.0,8055310
132402.0,8077062
132551.0,8076317
133017.0,8152327
133483.0,8149997
134145.0,8211636
134807.0,8273275
135864.0,8305952
136921.0,8338629
137237.0,8337049
137883.0,8399861
138954.0,8431511
139441.0,8505982
139907.0,8503652
140223.0,8590661
141005.0,8643501
142012.0,8679844
142533.0,8751822
142922.0,8833478
143311.0,8831533
143460.0,8830788
143776.0,8829208
144241.0,8905292
144390.0,8904547
144706.0,8991556
145022.0,8989976
145338.0,8988396
146192.0,9035957
146730.0,9106688
147196.0,9182698
147780.0,9250056
148517.0,9306196
148666.0,9305451
148815.0,9404705
149336.0,9476683
149561.0,9475558
149877.0,9473978
150415.0,9544709
150902.0,9619180
151517.0,9684265
152038.0,9756243
152263.0,9755118
153045.0,9807958
153532.0,9882429
153921.0,9880484
154442.0,9952462
155313.0,9998777
155959.0,9995547
156813.0,10043108
157667.0,10090669
158521.0,10138230
158910.0,10136285
160116.0,10158037
160707.0,10155082
161173.0,10152752
161489.0,10239761
161714.0,10333442
162585.0,10379757
163656.0,10411407
164194.0,10482138
165251.0,10514815
166329.0,10545952
166718.0,10544007
167239.0,10615985
167464.0,10614860
168318.0,10662421
168707.0,10660476
169096.0,10742132
170167.0,10773782
170755.0,10840847
171221.0,10916857
171708.0,10991328
172246.0,11062059
172562.0,11149068
173540.0,11187537
173736.0,11283344
174743.0,11319687
175284.0,11390198
175600.0,11388618
176578.0,11427087
177358.0,11480074
178229.0,11526389
178454.0,11525264
178679.0,11618945
179550.0,11665260
180621.0,11696910
181531.0,11740365
181756.0,11739240
181981.0,11832921
182988.0,11869264
183454.0,11866934
183770.0,11865354
184624.0,11912915
185162.0,11983646
185478.0,11982066
186332.0,12029627
187015.0,12089726
187211.0,12088746
187677.0,12086416
187826.0,12185670
189032.0,12207422
189623.0,12204467
190089.0,12202137
191146.0,12234814
191737.0,12231859
192321.0,12299217
193392.0,12330867
193781.0,12328922
194592.0,12379636
194788.0,12378656
195254.0,12376326
195570.0,12463335
195886.0,12461755
196202.0,12460175
196427.0,12553856
197434.0,12590199
197900.0,12587869
198216.0,12586289
198532.0,12584709
198848.0,12671718
199313.0,12747802
199462.0,12747057
200050.0,12814122
200634.0,12881480
201249.0,12946565
201398.0,12945820
202060.0,13007459
202871.0,13058173
203260.0,13139829
203649.0,13137884
204386.0,13194024
205561.0,13218049
206152.0,13215094
206639.0,13289565
207028.0,13287620
207765.0,13343760
208940.0,13367785
209531.0,13364830
210538.0,13401173
210763.0,13400048
211079.0,13487057
211617.0,13557788
212006.0,13555843
212155.0,13555098
212471.0,13553518
213449.0,13591987
214652.0,13613959
215523.0,13660274
216698.0,13684299
217755.0,13716976
218071.0,13715396
218387.0,13802405
219444.0,13835082
220522.0,13866219
221009.0,13940690
221600.0,14007535
222191.0,14004580
223198.0,14040923
224401.0,14062895
225188.0,14115369
226394.0,14137121
226543.0,14136376
226859.0,14134796
227084.0,14228477
227309.0,14227352
228163.0,14274913
228552.0,14356569
228941.0,14438225
229851.0,14481680
230076.0,14480555
230392.0,14478975
231449.0,14511652
232040.0,14508697
232506.0,14506367
232822.0,14504787
233800.0,14543256
234462.0,14604895
234778.0,14691904
235094.0,14778913
235410.0,14777333
236388.0,14815802
237175.0,14868276
238253.0,14899413
238642.0,14981069
239257.0,15046154
239723.0,15043824
240039.0,15042244
240504.0,15118328
240653.0,15117583
241194.0,15188094
241419.0,15186969
242201.0,15239809
242688.0,15314280
243542.0,15361841
244396.0,15409402
245250.0,15456963
245896.0,15519775
246542.0,15582587
247324.0,15635427
247790.0,15711437
248106.0,15709857
248422.0,15708277
248571.0,15807531
249777.0,15829283
250368.0,15826328
250952.0,15893686
251598.0,15956498
252452.0,16004059
252990.0,16074790
253531.0,16145301
254052.0,16217279
254441.0,16298935
254830.0,16296990
255351.0,16368968
255576.0,16367843
256041.0,16443927
257247.0,16465679
257838.0,16462724
258304.0,16538734
258845.0,16609245
259386.0,16679756
260443.0,16712433
261649.0,16734185
262460.0,16784899
262656.0,16880706
263271.0,16945791
263420.0,16945046
263961.0,17015557
264186.0,17014432
265040.0,17061993
265578.0,17132724
266116.0,17203455
266654.0,17274186
266970.0,17361195
267752.0,17414035
268218.0,17411705
268534.0,17410125
269388.0,17457686
270298.0,17501141
271305.0,17537484
271771.0,17535154
272087.0,17533574
272552.0,17609658
272701.0,17608913
273758.0,17641590
274349.0,17638635
274545.0,17734442
275228.0,17794541
275766.0,17865272
276082.0,17952281
276398.0,17950701
276939.0,18021212
278142.0,18043184
279120.0,18081653
279974.0,18129214
280828.0,18176775
281682.0,18224336
282071.0,18305992
282882.0,18356706
283693.0,18407420
284308.0,18472505
285315.0,18508848
285540.0,18507723
286394.0,18555284
287472.0,18586421
288678.0,18608173
289293.0,18673258
289759
