km,reward
591.0,66845
1182.0,63890
1378.0,159697
2581.0,181669
3588.0,218012
4203.0,283097
4352.0,282352
4668.0,280772
5522.0,328333
6593.0,359983
7768.0,384008
8359.0,381053
8825.0,378723
9363.0,449454
10434.0,481104
11022.0,548169
11338.0,546589
11563.0,640270
12570.0,676613
13154.0,743971
14225.0,775621
14712.0,850092
15178.0,847762
15716.0,918493
16570.0,966054
17352.0,1018894
17967.0,1083979
18116.0,1083234
18432.0,1170243
18748.0,1168663
19064.0,1167083
19380.0,1165503
19696.0,1163923
20342.0,1226735
21517.0,1250760
22595.0,1281897
23673.0,1313034
24264.0,1310079
25046.0,1362919
25828.0,1415759
26294.0,1413429
27351.0,1446106
28429.0,1477243
28967.0,1547974
29433.0,1623984
30440.0,1660327
30665.0,1659202
30981.0,1657622
31297.0,1656042
31613.0,1654462
31929.0,1652882
32154.0,1746563
32379.0,1745438
32695.0,1743858
33236.0,1814369
33461.0,1813244
34243.0,1866084
34827.0,1933442
35473.0,1930212
36327.0,1977773
36716.0,2059429
37105.0,2141085
38015.0,2184540
38556.0,2255051
38872.0,2342060
39654.0,2394900
40120.0,2392570
40661.0,2463081
40886.0,2461956
41740.0,2509517
42129.0,2507572
42278.0,2506827
42427.0,2606081
42948.0,2678059
43469.0,2750037
43618.0,2749292
44156.0,2820023
45066.0,2863478
45291.0,2862353
46269.0,2900822
46465.0,2996629
47049.0,3063987
47695.0,3060757
47920.0,3154438
48461.0,3224949
49518.0,3257626
50693.0,3281651
51277.0,3349009
51861.0,3416367
52449.0,3483432
52765.0,3481852
53547.0,3534692
54131.0,3602050
55202.0,3633700
56273.0,3665350
56919.0,3662120
57773.0,3709681
58162.0,3707736
58551.0,3789392
58940.0,3787447
59751.0,3838161
60538.0,3890635
61616.0,3921772
62005.0,3919827
62470.0,3995911
63448.0,4034380
64651.0,4056352
65658.0,4092695
66124.0,4090365
66662.0,4161096
67051.0,4242752
67440.0,4324408
68350.0,4367863
68871.0,4439841
70077.0,4461593
71252.0,4485618
72123.0,4531933
72664.0,4602444
73202.0,4673175
74056.0,4720736
74910.0,4768297
75299.0,4766352
75448.0,4765607
75764.0,4764027
76080.0,4762447
76396.0,4760867
77250.0,4808428
77933.0,4868527
78129.0,4867547
78595.0,4865217
79652.0,4897894
80827.0,4921919
81564.0,4978059
81713.0,4977314
82029.0,4975734
82811.0,5028574
83818.0,5064917
84689.0,5111232
85760.0,5142882
86149.0,5140937
86298.0,5240191
87355.0,5272868
88433.0,5304005
88822.0,5302060
88971.0,5301315
89512.0,5371826
89737.0,5370701
89962.0,5464382
90187.0,5463257
91165.0,5501726
91361.0,5500746
91945.0,5568104
92591.0,5564874
92816.0,5658555
93687.0,5704870
94333.0,5701640
94979.0,5764452
95625.0,5761222
95941.0,5759642
96257.0,5758062
96573.0,5756482
96889.0,5843491
97205.0,5841911
97521.0,5928920
98499.0,5967389
98695.0,6063196
99161.0,6060866
99477.0,6059286
100123.0,6122098
100707.0,6189456
101173.0,6187126
102230.0,6219803
102821.0,6216848
103017.0,6312655
103679.0,6374294
104145.0,6450304
105152.0,6486647
106355.0,6508619
107166.0,6559333
107315.0,6558588
107853.0,6629319
108340.0,6703790
108536.0,6799597
109323.0,6852071
110529.0,6873823
110918.0,6955479
111772.0,7003040
112750.0,7041509
113561.0,7092223
113950.0,7173879
114488.0,7244610
114804.0,7243030
115782.0,7281499
116562.0,7334486
117208.0,7397298
117524.0,7395718
117840.0,7394138
118156.0,7392558
