km,reward
202344.0,13754443
202569.0,13848124
203576.0,13884467
204042.0,13882137
204358.0,13880557
205004.0,13943369
205650.0,13940139
205966.0,13938559
206282.0,13936979
207136.0,13984540
207623.0,14059011
207819.0,14154818
208606.0,14207292
209684.0,14238429
210755.0,14270079
211401.0,14332891
212255.0,14380452
212938.0,14440551
213718.0,14493538
214364.0,14556350
215010.0,14619162
215656.0,14615932
215972.0,14614352
217029.0,14647029
217620.0,14644074
218211.0,14710919
218802.0,14707964
219268.0,14705634
219584.0,14704054
220230.0,14766866
220876.0,14763636
221658.0,14816476
222242.0,14883834
223113.0,14930149
223338.0,14929024
223563.0,15022705
224434.0,15069020
225080.0,15065790
225305.0,15159471
225530.0,15158346
226384.0,15205907
226922.0,15276638
227238.0,15275058
227554.0,15273478
227870.0,15271898
228186.0,15270318
228502.0,15268738
228967.0,15344822
229356.0,15426478
230210.0,15474039
231188.0,15512508
231975.0,15564982
232566.0,15562027
232762.0,15657834
233424.0,15719473
233740.0,15806482
234386.0,15869294
234974.0,15936359
235512.0,16007090
236422.0,16050545
237429.0,16086888
237895.0,16084558
238436.0,16155069
239443.0,16191412
239909.0,16189082
240225.0,16187502
240541.0,16185922
241079.0,16256653
241617.0,16327384
242674.0,16360061
243752.0,16391198
244435.0,16451297
245246.0,16502011
245635.0,16583667
246713.0,16614804
247919.0,16636556
248068.0,16635811
248384.0,16722820
249238.0,16770381
249725.0,16844852
250309.0,16912210
251089.0,16965197
251285.0,16964217
252292.0,17000560
252517.0,16999435
252982.0,17075519
253503.0,17147497
253728.0,17146372
254193.0,17222456
254342.0,17221711
255399.0,17254388
255990.0,17251433
256997.0,17287776
258200.0,17309748
259011.0,17360462
260217.0,17382214
260808.0,17379259
261274.0,17376929
261590.0,17375349
261906.0,17373769
262222.0,17372189
263200.0,17410658
263987.0,17463132
265044.0,17495809
266101.0,17528486
266692.0,17525531
267699.0,17561874
267924.0,17560749
268240.0,17647758
268778.0,17718489
269167.0,17716544
269978.0,17767258
270661.0,17827357
271050.0,17825412
271787.0,17881552
272433.0,17878322
273411.0,17916791
273607.0,18012598
273803.0,18108405
274583.0,18161392
275229.0,18158162
276207.0,18196631
276994.0,18249105
2
