km,reward
466.0,-2330
782.0,-3910
1760.0,34559
2540.0,87546
3611.0,119196
4000.0,117251
4389.0,198907
5299.0,242362
6306.0,278705
6772.0,276375
7088.0,274795
7404.0,273215
7945.0,343726
9148.0,365698
9928.0,418685
10574.0,415455
11356.0,468295
11822.0,544305
12138.0,542725
13116.0,581194
13896.0,634181
14542.0,630951
14858.0,629371
15399.0,699882
15624.0,698757
16270.0,761569
17445.0,785594
18523.0,816731
18912.0,814786
19723.0,865500
20385.0,927139
20923.0,997870
21833.0,1041325
22058.0,1040200
22840.0,1093040
23306.0,1090710
23847.0,1161221
24718.0,1207536
25364.0,1270348
26010.0,1333160
26594.0,1400518
27185.0,1467363
28263.0,1498500
28652.0,1580156
29858.0,1601908
30915.0,1634585
31231.0,1633005
32209.0,1671474
32996.0,1723948
34202.0,1745700
35408.0,1767452
35999.0,1764497
36465.0,1762167
37127.0,1823806
37907.0,1876793
38553.0,1873563
39199.0,1936375
40374.0,1960400
41972.0,1953410
42843.0,1999725
44018.0,2023750
45224.0,2045502
45373.0,2044757
45689.0,2131766
46471.0,2184606
47062.0,2251451
48119.0,2284128
48660.0,2354639
49863.0,2376611
50650.0,2429085
51707.0,2461762
52023.0,2460182
52248.0,2553863
52473.0,2552738
53327.0,2600299
54405.0,2631436
54996.0,2628481
55192.0,2724288
56003.0,2775002
56152.0,2774257
56690.0,2844988
57079.0,2843043
57468.0,2924699
58539.0,2956349
59610.0,2987999
60148.0,3058730
60689.0,3129241
61560.0,3175556
62631.0,3207206
63169.0,3277937
63485.0,3364946
63801.0,3363366
63950.0,3462620
64761.0,3513334
65541.0,3566321
66187.0,3563091
66412.0,3656772
67615.0,3678744
68593.0,3717213
68909.0,3715633
69447.0,3786364
69836.0,3784419
70357.0,3856397
71560.0,3878369
72340.0,3931356
72986.0,3928126
73302.0,3926546
74359.0,3959223
75565.0,3980975
75714.0,3980230
76030.0,3978650
76884.0,4026211
77273.0,4024266
78010.0,4080406
78656.0,4077176
79121.0,4153260
79510.0,4234916
80193.0,4295015
80389.0,4294035
80980.0,4360880
81571.0,4427725
82037.0,4425395
82503.0,4501405
83510.0,4537748
83735.0,4536623
83960.0,4630304
84185.0,4629179
84831.0,4691991
85415.0,4759349
86422.0,4795692
86647.0,4794567
86963.0,4792987
87279.0,4791407
87744.0,4867491
88555.0,4918205
89335.0,4971192
89981.0,5034004
90297.0,5032424
90763.0,5108434
91770.0,5144777
92311.0,5215288
92627.0,5213708
93481.0,5261269
94019.0,5332000
94335.0,5330420
95313.0,5368889
96516.0,5390861
96741.0,5389736
97057.0,5388156
97598.0,5458667
97823.0,5457542
98139.0,5455962
98677.0,5526693
