km,reward
466.0,-2330
1523.0,30347
2580.0,63024
2729.0,162278
3540.0,212992
3736.0,212012
4202.0,209682
4518.0,296691
4743.0,390372
4968.0,389247
5284.0,476256
5600.0,563265
6246.0,626077
6892.0,622847
7208.0,621267
7796.0,688332
8442.0,685102
9224.0,737942
9690.0,735612
10747.0,768289
11338.0,765334
11922.0,832692
12568.0,829462
12884.0,827882
13200.0,826302
13516.0,824722
13665.0,923976
14476.0,974690
15256.0,1027677
15844.0,1094742
16160.0,1181751
16806.0,1244563
17452.0,1241333
18234.0,1294173
18825.0,1361018
19416.0,1358063
19882.0,1355733
20420.0,1426464
20809.0,1508120
21198.0,1589776
22108.0,1633231
22979.0,1679546
23625.0,1676316
24090.0,1752400
24901.0,1803114
25712.0,1853828
25861.0,1853083
26918.0,1885760
27509.0,1952605
28100.0,2019450
28691.0,2016495
29157.0,2014165
29745.0,2081230
30333.0,2148295
31390.0,2180972
32596.0,2202724
33802.0,2224476
34880.0,2255613
35958.0,2286750
37015.0,2319427
37556.0,2389938
37781.0,2388813
38563.0,2441653
38759.0,2537460
39546.0,2589934
40137.0,2586979
40721.0,2654337
41367.0,2651107
42345.0,2689576
42541.0,2688596
43007.0,2686266
43156.0,2785520
43967.0,2836234
44163.0,2835254
44747.0,2902612
45393.0,2899382
45618.0,2993063
46821.0,3015035
47017.0,3110842
47608.0,3177687
48686.0,3208824
49540.0,3256385
49765.0,3350066
49990.0,3348941
50455.0,3425025
51192.0,3481165
52367.0,3505190
53573.0,3526942
54188.0,3592027
54384.0,3687834
55046.0,3749473
55362.0,3836482
55678.0,3834902
55994.0,3921911
56459.0,3997995
56608.0,3997250
57149.0,4067761
58156.0,4104104
58938.0,4156944
59720.0,4209784
60304.0,4277142
60950.0,4273912
61266.0,4272332
61804.0,4343063
62193.0,4341118
62342.0,4340373
62658.0,4427382
62974.0,4425802
63512.0,4496533
64366.0,4544094
65220.0,4591655
65707.0,4666126
66291.0,4733484
67162.0,4779799
67387.0,4778674
68033.0,4841486
69104.0,4873136
69493.0,4871191
70304.0,4921905
70966.0,4983544
71504.0,5054275
71893.0,5052330
72704.0,5103044
72900.0,5102064
73366.0,5099734
73515.0,5198988
73664.0,5198243
73980.0,5196663
74834.0,5244224
75905.0,5275874
76551.0,5272644
76867.0,5271064
77183.0,5269484
77829.0,5332296
78475.0,5329066
79257.0,5381906
79723.0,5379576
80039.0,5377996
80893.0,5425557
81747.0,5473118
82601.0,5520679
83088.0,5595150
83554.0,5592820
84020.0,5668830
84216.0,5764637
84412.0,5860444
84878.0,5858114
85194.0,5856534
85840.0,5919346
86486.0,5916116
86802.0,5914536
87118.0,5912956
87972.0,5960517
88361.0,5958572
89172.0,6009286
89368.0,6105093
90375.0,6141436
91382.0,6177779
91848.0,6175449
92164.0,6173869
92480.0,6172289
93021.0,6242800
93246.0,6241675
94100.0,6289236
95178.0,6320373
95769.0,6387218
96360.0,6454063
97417.0,6486740
97733.0,6485160
97958.0,6578841
99161.0,6600813
99948.0,6653287
101154.0,6675039
101965.0,6725753
102161.0,6821560
102745.0,6888918
103391.0,6885688
104369.0,6924157
104565.0,7019964
105031.0,7017634
105569.0,7088365
105958.0,7086420
106695.0,7142560
107341.0,7139330
108195.0,7186891
108584.0,7184946
108733.0,7184201
109049.0,7182621
110027.0,7221090
110223.0,7220110
110689.0,7217780
111746.0,7250457
112952.0,7272209
113341.0,7353865
113730.0,7351920
113879.0,7351175
114467.0,7418240
115113.0,7415010
115578.0,7491094
116784.0,7512846
117375.0,7509891
117841.0,7507561
118157.0,7505981
118473.0,7504401
119014.0,7574912
119239.0,7573787
119555.0,7572207
120612.0,7604884
121690.0,7636021
122079.0,7717677
122228.0,7716932
122377.0,7816186
122526.0,7815441
123067.0,7885952
123608.0,7956463
124149.0,8026974
125156.0,8063317
125622.0,8060987
125938.0,8147996
126254.0,8146416
126842.0,8213481
128017.0,8237506
128608.0,8234551
129390.0,8287391
130368.0,8325860
131030.0,8387499
131568.0,8458230
132106.0,8528961
132422.0,8527381
133276.0,8574942
133665.0,8572997
134054.0,8654653
134592.0,8725384
134908.0,8812393
135133.0,8906074
136140.0,8942417
136627.0,9016888
137698.0,9048538
138873.0,9072563
139464.0,9069608
139660.0,9165415
140471.0,9216129
141282.0,9266843
141944.0,9328482
142260.0,9326902
142576.0,9325322
142892.0,9412331
143674.0,9465171
143870.0,9560978
144066.0,9559998
144650.0,9627356
145296.0,9624126
145521.0,9717807
145746.0,9716682
146062.0,9715102
146650.0,9782167
147721.0,9813817
148110.0,9811872
149316.0,9833624
150491.0,9857649
151137.0,9854419
151453.0,9852839
151769.0,9939848
152234.0,10015932
152971.0,10072072
153559.0,10139137
153708.0,10238391
154097.0,10320047
154486.0,10318102
155101.0,10383187
155567.0,10380857
156105.0,10451588
156494.0,10449643
157305.0,10500357
157501.0,10499377
158508.0,10535720
159379.0,10582035
160025.0,10578805
160671.0,10641617
161317.0,10638387
162171.0,10685948
163081.0,10729403
163306.0,10728278
163952.0,10791090
165127.0,10815115
165718.0,10812160
166184.0,10809830
167241.0,10842507
168447.0,10864259
168596.0,10863514
168912.0,10861934
169766.0,10909495
170304.0,10980226
170842.0,11050957
171231.0,11049012
171380.0,11048267
171696.0,11135276
171921.0,11228957
172146.0,11227832
173124.0,11266301
173911.0,11318775
175117.0,11340527
176323.0,11362279
176914.0,11359324
177505.0,11426169
178096.0,11493014
178680.0,11560372
179326.0,11557142
179551.0,11650823
179776.0,11649698
180092.0,11648118
180633.0,11718629
181504.0,11764944
182150.0,11761714
182466.0,11760134
183523.0,11792811
184114.0,11789856
185121.0,11826199
185642.0,11898177
186848.0,11919929
187439.0,11916974
187635.0,12012781
188297.0,12074420
188613.0,12072840
189078.0,12148924
189693.0,12214009
190475.0,12266849
191257.0,12319689
191723.0,12317359
192261.0,12388090
193339.0,12419227
193930.0,12416272
194396.0,12413942
194712.0,12412362
195690.0,12450831
196501.0,12501545
196650.0,12500800
197188.0,12571531
197726.0,12642262
198042.0,12640682
198824.0,12693522
199408.0,12760880
200054.0,12823692
200279.0,12917373
201286.0,12953716
201870.0,13021074
202741.0,13067389
203612.0,13113704
204683.0,13145354
205221.0,13216085
205759.0,13286816
206613.0,13334377
206929.0,13332797
207245.0,13331217
208099.0,13378778
209009.0,13422233
209234.0,13421108
210016.0,13473948
210503.0,13548419
211574.0,13580069
212749.0,13604094
213340.0,13601139
213931.0,13667984
214718.0,13720458
214914.0,13816265
215498.0,13883623
216673.0,13907648
217264.0,13904693
218046.0,13957533
218900.0,14005094
219289.0,14003149
219438.0,14002404
219754.0,14089413
220070.0,14087833
221127.0,14120510
221718.0,14117555
222309.0,14184400
223484.0,14208425
224072.0,14275490
224613.0,14346001
225134.0,14417979
225655.0,14489957
226196.0,14560468
226512.0,14558888
227158.0,14621700
228229.0,14653350
228618.0,14651405
229007.0,14733061
230085.0,14764198
231291.0,14785950
232102.0,14836664
232913.0,14887378
233062.0,14886633
233600.0,14957364
234678.0,14988501
235735.0,15021178
236276.0,15091689
236501.0,15090564
237479.0,15129033
238682.0,15151005
239553.0,15197320
240137.0,15264678
240603.0,15340688
240919.0,15339108
241235.0,15337528
241551.0,15424537
241776.0,15518218
242317.0,15588729
242466.0,15687983
243277.0,15738697
244480.0,15760669
245487.0,15797012
246078.0,15863857
246669.0,15860902
247156.0,15935373
248010.0,15982934
248988.0,16021403
249184.0,16020423
249966.0,16073263
250748.0,16126103
251339.0,16192948
252126.0,16245422
252906.0,16298409
253552.0,16295179
254530.0,16333648
255733.0,16355620
255958.0,16354495
256812.0,16402056
257201.0,16400111
257816.0,16465196
258823.0,16501539
259048.0,16500414
259694.0,16563226
260340.0,16559996
260565.0,16653677
261086.0,16725655
261235.0,16724910
261773.0,16795641
262162.0,16877297
262899.0,16933437
263545.0,16930207
263861.0,16928627
264177.0,16927047
264493.0,16925467
264809.0,17012476
265455.0,17075288
266039.0,17142646
267046.0,17178989
267271.0,17177864
267587.0,17264873
267736.0,17364127
268125.0,17445783
268808.0,17505882
269588.0,17558869
270234.0,17621681
270550.0,17620101
271607.0,17652778
272685.0,17683915
273756.0,17715565
274344.0,17782630
274660.0,17781050
274976.0,17779470
275564.0,17846535
276210.0,17843305
276675.0,17919389
276824.0,17918644
277881.0,17951321
278938.0,17983998
279479.0,18054509
280350.0,18100824
280996.0,18097594
281461.0,18173678
282076.0,18238763
282542.0,18236433
283008.0,18312443
283790.0,18365283
284106.0,18363703
284644.0,18434434
285498.0,18481995
286280.0,18534835
287062.0,18587675
287378.0,1
